"","IDG_RIUU","COD_PLAN","PAPA_tot","TOT_CREDITOS","NO_MATRICULAS","CREDITOS_AP","AVANCE","PROM_AVANCE","NO_PERDIDAS","ACTIVO"
"1","001482513","2513",3.40416666666667,48,5,36,22.09,4.42,3,0
"2","001722513","2513",4.2,8,1,8,4.91,4.91,0,0
"3","002222513","2513",4.5,8,1,8,4.91,4.91,0,0
"4","003632513","2513",4,4,1,4,2.45,2.45,0,0
"5","003642513","2513",3.68,55,6,51,31.29,5.22,1,0
"6","005052513","2513",4.5,3,1,3,1.84,1.84,0,0
"7","005162513","2513",3.61395348837209,43,6,39,23.93,3.99,1,0
"8","005352513","2513",3.10714285714286,56,5,38,23.31,4.66,6,1
"9","005422513","2513",3.7,4,1,4,2.45,2.45,0,0
"10","005472513","2513",4.2,12,1,12,7.36,7.36,0,0
"11","006642513","2513",3.97,20,3,17,10.43,3.48,1,0
"12","006762513","2513",4.39565217391304,23,2,23,14.11,7.06,0,0
"13","006992513","2513",3.44375,16,2,16,9.82,4.91,0,0
"14","007122513","2513",4.5,12,1,12,7.36,7.36,0,0
"15","007242513","2513",4.11428571428571,21,2,21,12.88,6.44,0,0
"16","007462513","2513",5,8,1,8,4.91,4.91,0,0
"17","007592513","2513",1.67142857142857,14,2,0,0,0,4,0
"18","007662513","2513",3.3,8,1,8,4.91,4.91,0,0
"19","007682513","2513",3.72405063291139,79,5,66,40.49,8.1,4,0
"20","007692513","2513",3.42166666666667,60,4,46,28.22,7.06,4,0
"21","007742513","2513",4,24,2,24,14.72,7.36,0,0
"22","007822513","2513",3.77297297297297,37,3,31,19.02,6.34,2,0
"23","007882513","2513",1.22,15,1,0,0,0,4,0
"24","007992513","2513",3.77272727272727,22,3,18,11.04,3.68,1,0
"25","008072513","2513",3.98709677419355,31,2,31,19.02,9.51,0,0
"26","008082513","2513",3.7125,32,3,32,19.63,6.54,0,0
"27","008252513","2513",3.64736842105263,38,3,38,23.31,7.77,0,0
"28","008272513","2513",4.28571428571429,7,1,7,4.29,4.29,0,0
"29","008452513","2513",3.215,40,6,31,19.02,3.17,3,0
"30","008522513","2513",3.12142857142857,42,5,29,17.79,3.56,4,0
"31","008542513","2513",2.17111111111111,45,4,16,9.82,2.46,9,0
"32","008692513","2513",4.72857142857143,14,1,14,8.59,8.59,0,0
"33","008742513","2513",3.05909090909091,44,5,29,17.79,3.56,3,0
"34","008782513","2513",4.08888888888889,36,2,36,22.09,11.04,0,0
"35","008812513","2513",3.78219178082192,73,4,65,39.88,9.97,2,0
"36","008972513","2513",3.3,7,1,7,4.29,4.29,0,0
"37","009102513","2513",3.834375,32,3,32,19.63,6.54,0,0
"38","009122513","2513",4.5,17,2,17,10.43,5.22,0,0
"39","009252513","2513",3.55333333333333,15,1,15,9.2,9.2,0,0
"40","009262513","2513",4.37931034482759,29,3,29,17.79,5.93,0,0
"41","009332513","2513",3.67575757575758,33,3,33,20.25,6.75,0,0
"42","009482513","2513",4.2,3,1,3,1.84,1.84,0,0
"43","009502513","2513",3.985,60,5,60,36.81,7.36,0,0
"44","009542513","2513",4.18076923076923,52,4,52,31.9,7.97,0,0
"45","009562513","2513",3.321875,32,3,28,17.18,5.73,1,0
"46","009582513","2513",3.42957746478873,71,7,55,33.74,4.82,5,0
"47","009732513","2513",4.8,8,1,8,4.91,4.91,0,0
"48","009832513","2513",3.18076923076923,26,3,19,11.66,3.89,2,0
"49","009912513","2513",1.0875,16,1,3,1.84,1.84,4,0
"50","010012513","2513",3.52278481012658,79,6,67,41.1,6.85,3,0
"51","010212513","2513",4.02142857142857,28,2,28,17.18,8.59,0,0
"52","010232513","2513",3.40754716981132,53,4,43,26.38,6.6,3,0
"53","010292513","2513",3.96666666666667,12,1,12,7.36,7.36,0,0
"54","010312513","2513",4.15,28,2,28,17.18,8.59,0,0
"55","010372513","2513",4.40740740740741,27,2,27,16.56,8.28,0,0
"56","010492513","2513",4.525,16,1,16,9.82,9.82,0,0
"57","010652513","2513",4.11111111111111,18,1,18,11.04,11.04,0,0
"58","010692513","2513",3.36478873239437,71,9,52,31.9,3.54,6,0
"59","010832513","2513",4.34285714285714,14,2,14,8.59,4.3,0,0
"60","010852513","2513",4.49259259259259,27,2,27,16.56,8.28,0,0
"61","010872513","2513",4.26666666666667,21,1,21,12.88,12.88,0,0
"62","010992513","2513",3.84528301886792,53,4,53,32.52,8.13,0,0
"63","011002513","2513",5,8,1,8,4.91,4.91,0,0
"64","011042513","2513",4.3,8,1,8,4.91,4.91,0,0
"65","011062513","2513",4.08387096774194,31,2,31,19.02,9.51,0,0
"66","011072513","2513",4.41379310344828,29,3,28,17.18,5.73,1,0
"67","011082513","2513",3.45892857142857,56,4,44,26.99,6.75,3,0
"68","011092513","2513",3.80681818181818,44,3,40,24.54,8.18,1,0
"69","011102513","2513",4.17368421052632,19,2,19,11.66,5.83,0,0
"70","011112513","2513",3.62857142857143,14,1,14,8.59,8.59,0,0
"71","011142513","2513",4.83636363636364,11,1,11,6.75,6.75,0,0
"72","011152513","2513",3.37037037037037,27,2,19,11.66,5.83,1,0
"73","011172513","2513",4.89090909090909,11,1,11,6.75,6.75,0,0
"74","011192513","2513",4.80909090909091,11,1,11,6.75,6.75,0,0
"75","011202513","2513",4.57894736842105,19,1,19,11.66,11.66,0,0
"76","011212513","2513",4.02564102564103,39,2,39,23.93,11.96,0,0
