"","IDG_RIUU","COD_PLAN","PAPA_tot","GRUPO","PLAN","TRIAGE"
"54","018782513","2513","3.8",3,"BIOLOGÍA","IV"
"210","022352513","2513","3.9",3,"BIOLOGÍA","IV"
"328","023912513","2513","4",3,"BIOLOGÍA","IV"
"350","024352513","2513","4",3,"BIOLOGÍA","IV"
"357","024482513","2513","4.4",3,"BIOLOGÍA","IV"
"377","024812513","2513","4.1",3,"BIOLOGÍA","IV"
"381","024882513","2513","3.9",3,"BIOLOGÍA","IV"
"383","024902513","2513","4",3,"BIOLOGÍA","IV"
"386","024932513","2513","4.1",3,"BIOLOGÍA","IV"
"387","024942513","2513","4.4",3,"BIOLOGÍA","IV"
"388","024952513","2513","4.2",3,"BIOLOGÍA","IV"
"389","024962513","2513","4.4",3,"BIOLOGÍA","IV"
"390","024982513","2513","4.3",3,"BIOLOGÍA","IV"
"391","024992513","2513","4.1",3,"BIOLOGÍA","IV"
"392","025002513","2513","4.4",3,"BIOLOGÍA","IV"
"393","025012513","2513","4.3",3,"BIOLOGÍA","IV"
"395","025032513","2513","4",3,"BIOLOGÍA","IV"
"396","025052513","2513","4.5",3,"BIOLOGÍA","IV"
"398","025072513","2513","4",3,"BIOLOGÍA","IV"
"399","025082513","2513","4.3",3,"BIOLOGÍA","IV"
"402","025112513","2513","4.3",3,"BIOLOGÍA","IV"
"403","025132513","2513","4.3",3,"BIOLOGÍA","IV"
"404","025142513","2513","4.8",3,"BIOLOGÍA","IV"
"405","025152513","2513","4.4",3,"BIOLOGÍA","IV"
"407","025172513","2513","4.7",3,"BIOLOGÍA","IV"
"408","025182513","2513","4.6",3,"BIOLOGÍA","IV"
"410","025222513","2513","4.1",3,"BIOLOGÍA","IV"
"411","025242513","2513","4.2",3,"BIOLOGÍA","IV"
"412","025252513","2513","4.1",3,"BIOLOGÍA","IV"
"413","025272513","2513","4.3",3,"BIOLOGÍA","IV"
"414","025292513","2513","4.1",3,"BIOLOGÍA","IV"
"415","025302513","2513","4.1",3,"BIOLOGÍA","IV"
"417","025322513","2513","4",3,"BIOLOGÍA","IV"
"418","025332513","2513","4.2",3,"BIOLOGÍA","IV"
"419","025342513","2513","4.5",3,"BIOLOGÍA","IV"
"420","025352513","2513","4.3",3,"BIOLOGÍA","IV"
"421","025362513","2513","4.1",3,"BIOLOGÍA","IV"
"422","025372513","2513","4.1",3,"BIOLOGÍA","IV"
"423","025392513","2513","4",3,"BIOLOGÍA","IV"
"424","025402513","2513","4.3",3,"BIOLOGÍA","IV"
"425","025422513","2513","4.2",3,"BIOLOGÍA","IV"
"426","025432513","2513","3.8",3,"BIOLOGÍA","IV"
"427","025442513","2513","4.2",3,"BIOLOGÍA","IV"
"428","025452513","2513","4.1",3,"BIOLOGÍA","IV"
"429","025462513","2513","3.9",3,"BIOLOGÍA","IV"
"430","025472513","2513","4.1",3,"BIOLOGÍA","IV"
"431","025482513","2513","4.1",3,"BIOLOGÍA","IV"
"432","025492513","2513","4.3",3,"BIOLOGÍA","IV"
"434","025512513","2513","4.1",3,"BIOLOGÍA","IV"
"435","025522513","2513","4.2",3,"BIOLOGÍA","IV"
"437","025542513","2513","4.2",3,"BIOLOGÍA","IV"
"438","025552513","2513","4.1",3,"BIOLOGÍA","IV"
"439","025572513","2513","4.4",3,"BIOLOGÍA","IV"
"440","025582513","2513","4.3",3,"BIOLOGÍA","IV"
"445","025632513","2513","3.7",3,"BIOLOGÍA","IV"
"448","025672513","2513","3.9",3,"BIOLOGÍA","IV"
"450","025692513","2513","3.8",3,"BIOLOGÍA","IV"
"451","025702513","2513","4.2",3,"BIOLOGÍA","IV"
"452","025712513","2513","3.9",3,"BIOLOGÍA","IV"
"454","025732513","2513","3.8",3,"BIOLOGÍA","IV"
"456","025782513","2513","3.9",3,"BIOLOGÍA","IV"
"461","025842513","2513","3.9",3,"BIOLOGÍA","IV"
"463","025892513","2513","3.9",3,"BIOLOGÍA","IV"
"464","025902513","2513","3.9",3,"BIOLOGÍA","IV"
"465","025912513","2513","4",3,"BIOLOGÍA","IV"
"467","025932513","2513","4.5",3,"BIOLOGÍA","IV"
"468","025942513","2513","3.8",3,"BIOLOGÍA","IV"
"469","025962513","2513","4.1",3,"BIOLOGÍA","IV"
"471","025982513","2513","3.9",3,"BIOLOGÍA","IV"
"473","026012513","2513","4.4",3,"BIOLOGÍA","IV"
"476","026082513","2513","3.9",3,"BIOLOGÍA","IV"
"479","026112513","2513","3.9",3,"BIOLOGÍA","IV"
"480","026122513","2513","3.8",3,"BIOLOGÍA","IV"
"486","026252513","2513","4.4",3,"BIOLOGÍA","IV"
"487","026262513","2513","4",3,"BIOLOGÍA","IV"
"488","026282513","2513","4.3",3,"BIOLOGÍA","IV"
"490","026322513","2513","4",3,"BIOLOGÍA","IV"
"491","026332513","2513","4.2",3,"BIOLOGÍA","IV"
"492","026342513","2513","4.4",3,"BIOLOGÍA","IV"
"494","026392513","2513","4.4",3,"BIOLOGÍA","IV"
"498","026552513","2513","4",3,"BIOLOGÍA","IV"
"499","026572513","2513","4.6",3,"BIOLOGÍA","IV"
"500","026582513","2513","3.8",3,"BIOLOGÍA","IV"
"502","026602513","2513","4.2",3,"BIOLOGÍA","IV"
"503","026622513","2513","3.8",3,"BIOLOGÍA","IV"
"505","026652513","2513","4",3,"BIOLOGÍA","IV"
"507","026672513","2513","3.8",3,"BIOLOGÍA","IV"
"509","026712513","2513","4",3,"BIOLOGÍA","IV"
"510","026742513","2513","4.4",3,"BIOLOGÍA","IV"
"511","026752513","2513","3.9",3,"BIOLOGÍA","IV"
"513","026772513","2513","3.9",3,"BIOLOGÍA","IV"
"518","026882513","2513","3.8",3,"BIOLOGÍA","IV"
"519","026902513","2513","4",3,"BIOLOGÍA","IV"
"522","026962513","2513","3.8",3,"BIOLOGÍA","IV"
"523","027082513","2513","3.9",3,"BIOLOGÍA","IV"
"524","027092513","2513","4.3",3,"BIOLOGÍA","IV"
"526","027152513","2513","4.3",3,"BIOLOGÍA","IV"
"527","027162513","2513","4.5",3,"BIOLOGÍA","IV"
"554","016232514","2514","4.3",3,"ESTADÍSTICA","IV"
"635","018302514","2514","3.9",3,"ESTADÍSTICA","IV"
"702","019372514","2514","4.4",3,"ESTADÍSTICA","IV"
"715","019582514","2514","4.5",3,"ESTADÍSTICA","IV"
"736","019962514","2514","3.9",3,"ESTADÍSTICA","IV"
"741","020042514","2514","4.3",3,"ESTADÍSTICA","IV"
"768","020432514","2514","4.2",3,"ESTADÍSTICA","IV"
"771","020462514","2514","4.2",3,"ESTADÍSTICA","IV"
"776","020532514","2514","3.8",3,"ESTADÍSTICA","IV"
"780","020582514","2514","3.8",3,"ESTADÍSTICA","IV"
"781","020592514","2514","3.9",3,"ESTADÍSTICA","IV"
"794","020802514","2514","4.1",3,"ESTADÍSTICA","IV"
"820","021172514","2514","4.3",3,"ESTADÍSTICA","IV"
"822","021192514","2514","4.2",3,"ESTADÍSTICA","IV"
"827","021342514","2514","3.9",3,"ESTADÍSTICA","IV"
"830","021422514","2514","3.8",3,"ESTADÍSTICA","IV"
"835","021472514","2514","4.3",3,"ESTADÍSTICA","IV"
"836","021482514","2514","4.3",3,"ESTADÍSTICA","IV"
"840","021532514","2514","4.4",3,"ESTADÍSTICA","IV"
"841","021542514","2514","3.8",3,"ESTADÍSTICA","IV"
"842","021562514","2514","4.1",3,"ESTADÍSTICA","IV"
"851","021702514","2514","3.9",3,"ESTADÍSTICA","IV"
"854","021752514","2514","4.3",3,"ESTADÍSTICA","IV"
"858","021822514","2514","4.4",3,"ESTADÍSTICA","IV"
"863","021882514","2514","4.2",3,"ESTADÍSTICA","IV"
"864","021892514","2514","4",3,"ESTADÍSTICA","IV"
"865","021912514","2514","4.3",3,"ESTADÍSTICA","IV"
"866","021942514","2514","4.1",3,"ESTADÍSTICA","IV"
"867","021952514","2514","4",3,"ESTADÍSTICA","IV"
"868","021962514","2514","4.8",3,"ESTADÍSTICA","IV"
"873","022032514","2514","4.3",3,"ESTADÍSTICA","IV"
"875","022052514","2514","4.3",3,"ESTADÍSTICA","IV"
"876","022072514","2514","4",3,"ESTADÍSTICA","IV"
"877","022082514","2514","4",3,"ESTADÍSTICA","IV"
"879","022102514","2514","4.4",3,"ESTADÍSTICA","IV"
"887","022202514","2514","4",3,"ESTADÍSTICA","IV"
"889","022232514","2514","4.6",3,"ESTADÍSTICA","IV"
"897","022392514","2514","3.8",3,"ESTADÍSTICA","IV"
"904","022502514","2514","4",3,"ESTADÍSTICA","IV"
"905","022512514","2514","4.1",3,"ESTADÍSTICA","IV"
"906","022522514","2514","3.8",3,"ESTADÍSTICA","IV"
"909","022552514","2514","4.6",3,"ESTADÍSTICA","IV"
"910","022562514","2514","4.1",3,"ESTADÍSTICA","IV"
"916","022662514","2514","4.2",3,"ESTADÍSTICA","IV"
"918","022702514","2514","4.3",3,"ESTADÍSTICA","IV"
"919","022712514","2514","3.8",3,"ESTADÍSTICA","IV"
"927","022932514","2514","4.1",3,"ESTADÍSTICA","IV"
"929","022952514","2514","4.6",3,"ESTADÍSTICA","IV"
"930","022962514","2514","4",3,"ESTADÍSTICA","IV"
"931","022982514","2514","4.2",3,"ESTADÍSTICA","IV"
"932","022992514","2514","4.3",3,"ESTADÍSTICA","IV"
"935","023042514","2514","3.7",3,"ESTADÍSTICA","IV"
"936","023052514","2514","4.5",3,"ESTADÍSTICA","IV"
"937","023062514","2514","3.8",3,"ESTADÍSTICA","IV"
"939","023102514","2514","4.1",3,"ESTADÍSTICA","IV"
"940","023112514","2514","4.3",3,"ESTADÍSTICA","IV"
"942","023142514","2514","4.4",3,"ESTADÍSTICA","IV"
"943","023152514","2514","3.8",3,"ESTADÍSTICA","IV"
"945","023212514","2514","4",3,"ESTADÍSTICA","IV"
"946","023222514","2514","3.8",3,"ESTADÍSTICA","IV"
"947","023232514","2514","3.9",3,"ESTADÍSTICA","IV"
"949","023252514","2514","3.8",3,"ESTADÍSTICA","IV"
"950","023262514","2514","4.2",3,"ESTADÍSTICA","IV"
"952","023292514","2514","3.7",3,"ESTADÍSTICA","IV"
"955","023352514","2514","4.2",3,"ESTADÍSTICA","IV"
"958","023402514","2514","4.4",3,"ESTADÍSTICA","IV"
"1161","024482515","2515","4.2",3,"FARMACIA","IV"
"1240","025602515","2515","4.1",3,"FARMACIA","IV"
"1248","025682515","2515","4.1",3,"FARMACIA","IV"
"1300","026352515","2515","4.4",3,"FARMACIA","IV"
"1314","026492515","2515","3.9",3,"FARMACIA","IV"
"1364","027192515","2515","4.7",3,"FARMACIA","IV"
"1385","027532515","2515","4.1",3,"FARMACIA","IV"
"1388","027622515","2515","3.8",3,"FARMACIA","IV"
"1389","027632515","2515","4.1",3,"FARMACIA","IV"
"1392","027662515","2515","4",3,"FARMACIA","IV"
"1406","027812515","2515","4.5",3,"FARMACIA","IV"
"1409","027852515","2515","4.5",3,"FARMACIA","IV"
"1413","027892515","2515","3.7",3,"FARMACIA","IV"
