"","IDG_RIUU","COD_PLAN","PAPA_tot","GRUPO","PLAN","TRIAGE"
"3","013972513","2513","2.7",5,"BIOLOGÍA","I"
"14","015892513","2513","3",5,"BIOLOGÍA","I"
"319","023812513","2513","3.1",5,"BIOLOGÍA","I"
"400","025092513","2513","3.1",5,"BIOLOGÍA","I"
"443","025612513","2513","2.8",5,"BIOLOGÍA","I"
"482","026192513","2513","2.7",5,"BIOLOGÍA","I"
"611","017872514","2514","3",5,"ESTADÍSTICA","I"
"666","018872514","2514","2.9",5,"ESTADÍSTICA","I"
"698","019322514","2514","3",5,"ESTADÍSTICA","I"
"769","020442514","2514","3.2",5,"ESTADÍSTICA","I"
"818","021122514","2514","2.7",5,"ESTADÍSTICA","I"
"884","022172514","2514","3",5,"ESTADÍSTICA","I"
"923","022872514","2514","2.8",5,"ESTADÍSTICA","I"
"963","016332515","2515","2.9",5,"FARMACIA","I"
"1018","022052515","2515","2.8",5,"FARMACIA","I"
"1352","027022515","2515","3",5,"FARMACIA","I"
"1357","027092515","2515","3.3",5,"FARMACIA","I"
"1386","027552515","2515","3.1",5,"FARMACIA","I"
"1502","029162515","2515","3",5,"FARMACIA","I"
"1555","011542516","2516","2.8",5,"FÍSICA","I"
"1558","013642516","2516","3",5,"FÍSICA","I"
"1644","019802516","2516","2.9",5,"FÍSICA","I"
"1709","021242516","2516","3",5,"FÍSICA","I"
"1947","025052516","2516","2.9",5,"FÍSICA","I"
"2219","011752517","2517","3",5,"GEOLOGÍA","I"
"2285","013592517","2517","2.9",5,"GEOLOGÍA","I"
"2379","015182517","2517","3",5,"GEOLOGÍA","I"
"2557","017842517","2517","3",5,"GEOLOGÍA","I"
"2575","014172518","2518","3",5,"MATEMÁTICAS","I"
"2636","020252518","2518","3.1",5,"MATEMÁTICAS","I"
"2694","021252518","2518","3.2",5,"MATEMÁTICAS","I"
"2697","021292518","2518","3",5,"MATEMÁTICAS","I"
"2722","021632518","2518","2.8",5,"MATEMÁTICAS","I"
"2840","016872519","2519","2.9",5,"QUÍMICA","I"
"2842","016912519","2519","3",5,"QUÍMICA","I"
"2978","021512519","2519","2.7",5,"QUÍMICA","I"
"3005","022052519","2519","3.1",5,"QUÍMICA","I"
"3105","023712519","2519","3.1",5,"QUÍMICA","I"
"3167","024492519","2519","2.9",5,"QUÍMICA","I"
"3201","025172519","2519","2.9",5,"QUÍMICA","I"
"3211","025332519","2519","3",5,"QUÍMICA","I"
"3222","025462519","2519","3",5,"QUÍMICA","I"
"3242","025762519","2519","2.9",5,"QUÍMICA","I"
"3255","025952519","2519","3",5,"QUÍMICA","I"
"3260","026012519","2519","3.2",5,"QUÍMICA","I"
"3307","026772519","2519","2.7",5,"QUÍMICA","I"
"3317","026942519","2519","2.9",5,"QUÍMICA","I"
"3375","000032933","2933","2.8",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3409","000872933","2933","3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3422","001142933","2933","3.1",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3461","001802933","2933","2.7",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3477","002142933","2933","3.2",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3483","002222933","2933","3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3484","002232933","2933","3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3496","002512933","2933","3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3542","003482933","2933","2.9",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3550","003572933","2933","3.3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3557","003712933","2933","3.1",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3565","003932933","2933","3",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"3574","004072933","2933","3.1",5,"CIENCIAS DE LA COMPUTACIÓN","I"
"1","005352513","2513","3.1",2,"BIOLOGÍA","II"
"2","012412513","2513","2.9",2,"BIOLOGÍA","II"
"15","016452513","2513","3.3",2,"BIOLOGÍA","II"
"32","017902513","2513","3.4",2,"BIOLOGÍA","II"
"84","019862513","2513","3",2,"BIOLOGÍA","II"
"135","020812513","2513","3.1",2,"BIOLOGÍA","II"
"146","021082513","2513","3.1",2,"BIOLOGÍA","II"
"173","021492513","2513","3.1",2,"BIOLOGÍA","II"
"240","022692513","2513","3.2",2,"BIOLOGÍA","II"
"290","023492513","2513","2.9",2,"BIOLOGÍA","II"
"318","023802513","2513","3.3",2,"BIOLOGÍA","II"
"326","023882513","2513","3.1",2,"BIOLOGÍA","II"
"337","024142513","2513","3.1",2,"BIOLOGÍA","II"
"340","024172513","2513","3.1",2,"BIOLOGÍA","II"
"359","024502513","2513","3.1",2,"BIOLOGÍA","II"
"367","024612513","2513","3.3",2,"BIOLOGÍA","II"
"368","024632513","2513","3.3",2,"BIOLOGÍA","II"
"369","024652513","2513","3.2",2,"BIOLOGÍA","II"
"376","024792513","2513","3.3",2,"BIOLOGÍA","II"
